person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Esparta Chávez,espartachávez,espartachávez@hotmail.com,13738689002,1998-04-12,"Calzada Benin 182 786, San Jorge Luis los bajos, GRO 17203",(175)865-8338,1a:b4:67:04:6f:28,151.216.96.186,GB53UIQJ6355516505956,2025-06-24 06:29:15,29126,808,27,1823491,aa4ea7e5-eda6-40cb-8131-0d165f001562
Ing. Amanda Rojo,ing.amandarojo,ing.amandarojo@yahoo.com,71997556429,2005-06-18,"Continuación Perú 180 Interior 910, Nueva Afganistán, AGS 93038",680-034-7111x023,f4:3b:b8:60:46:21,62.164.35.83,GB27LBXZ3955787544487,2025-06-24 06:29:15,2428,387,324,750203,55146eeb-b386-45f9-8f3e-75d9567f7e22
Juan Carlos Amelia Ulloa,juancarlosameliaulloa,juancarlosameliaulloa@yahoo.com,32672348441,1967-04-02,"Privada Coahuila de Zaragoza 698 Edif. 026 , Depto. 399, San Timoteo de la Montaña, MOR 54180-3578",1-488-879-3243x28041,14:19:6a:15:26:36,14.101.16.116,GB70VMXS3186204063548,2025-06-24 06:29:15,33280,700,558,1657070,63543d9c-46ea-4d29-b140-cb5311263089
Lic. Araceli Garza,lic.araceligarza,lic.araceligarza@yahoo.com,30598552070,1938-11-20,"Corredor Sur Sosa 309 269, San Humberto de la Montaña, SLP 81420-7762",1-918-108-3961x428,70:8d:ea:13:b5:6a,52.22.146.216,GB42AZGF5043434345503,2025-06-24 06:29:15,17027,877,261,823422,864e72c7-4acf-4d92-a21e-d5312d1c4493
María Eugenia Lozano,maríaeugenialozano,maríaeugenialozano@hotmail.com,43480051077,1966-05-05,"Retorno Dávila 168 Interior 918, San Ivonne los altos, JAL 93502-6948",681-288-4608x319,b0:03:98:7f:d5:ed,54.190.166.3,GB11AAUA7577055146858,2025-06-24 06:29:15,10104,925,576,1410715,47fbb9f7-0f14-4375-8ff1-4e6345987e36
Esmeralda Elvira Medina,esmeraldaelviramedina,esmeraldaelviramedina@gmail.com,91981519670,1912-09-25,"Prolongación Distrito Federal 423 311, San Santiago de la Montaña, YUC 42442",(293)187-5568x605,7a:0e:82:2b:b2:d6,13.201.70.78,GB84FHFU3551295992026,2025-06-24 06:29:15,19331,4,172,1238515,3ab90faf-befc-409c-8b95-11a6dc918091
Dr. Olga González,dr.olgagonzález,dr.olgagonzález@gmail.com,28478482202,1920-12-15,"Andador Austria 334 Interior 051, San Nelly los bajos, VER 60118",1-427-667-1735,2c:50:ab:58:9a:41,203.218.69.79,GB08BGNY4783234463862,2025-06-24 06:29:15,24452,813,73,871577,310e2204-fa70-4b69-b68d-df46bad2e430
Lic. Barbara Almonte,lic.barbaraalmonte,lic.barbaraalmonte@yahoo.com,52147749668,1993-12-06,"Calle Armenia 902 307, Vieja Turkmenistán, CHIH 10945",1-744-607-1754x87358,34:cb:98:96:f9:9e,182.156.112.33,GB84QSCS7675259487040,2025-06-24 06:29:15,2204,71,582,1878001,234b445c-c5d2-4b68-b8e0-e95aea82ce99
Paulina Emilia Madrid Villalpando,paulinaemiliamadridvillalpando,paulinaemiliamadridvillalpando@gmail.com,52358571967,1926-09-23,"Cerrada Arredondo 931 Edif. 214 , Depto. 644, San Norma los altos, DGO 36684",(206)640-9199,ac:2c:73:43:80:b1,108.113.78.114,GB71JLPO2042332033866,2025-06-24 06:29:15,22886,202,285,625570,598695f2-a236-48e5-9b5d-e0721b845aa6
María Cristina Aurelio Romo,maríacristinaaurelioromo,maríacristinaaurelioromo@yahoo.com,88672912438,1999-12-04,"Eje vial Sur Tamayo 271 Interior 533, Nueva Canadá, ZAC 80437-7894",367-425-6851x36423,4a:49:a4:88:93:87,171.39.129.100,GB03BNQW1146794878833,2025-06-24 06:29:15,19073,838,223,1147414,5555554a-f129-4622-8b1a-b2b164bbba3b
Enrique Rangel Romero,enriquerangelromero,enriquerangelromero@yahoo.com,63980250896,2000-02-03,"Corredor Norte Chapa 926 Interior 906, Vieja República Federal Democrática de Nepal, GTO 24561",00191732183,06:e0:80:c5:09:0b,191.165.166.94,GB05BXEM1971373172754,2025-06-24 06:29:15,30472,334,219,193170,db8bef39-9672-4aa9-a4cd-d8f53da4fb8f
Rufino Genaro Treviño Rosario,rufinogenarotreviñorosario,rufinogenarotreviñorosario@gmail.com,81538824970,1921-12-31,"Peatonal Hurtado 807 Edif. 841 , Depto. 241, San Jaime los bajos, VER 73197",06533467352,90:42:1a:48:bc:e7,79.180.218.189,GB65UWUV9656245657369,2025-06-24 06:29:15,29561,82,596,81132,a355c5db-74b0-4cfc-90cc-9567e9c95150
Zoé Roberto Rubio Carvajal,zoérobertorubiocarvajal,zoérobertorubiocarvajal@hotmail.com,71865531074,1972-11-19,"Circuito Sur Narváez 829 580, Vieja Antigua y Barbuda, SLP 07856-1672",861.659.6832x4027,b2:61:74:27:5b:32,41.40.102.9,GB42XBWL0875443220224,2025-06-24 06:29:15,23341,81,420,1299462,39c25e9b-8e05-41aa-8cef-e662a052a3d4
Marcos Domínguez,marcosdomínguez,marcosdomínguez@gmail.com,81861870715,1933-01-02,"Diagonal Veracruz de Ignacio de la Llave 231 Interior 926, Vieja Eslovenia, DF 37510",+99(0)4029734497,92:d9:15:c6:8b:7e,106.6.252.34,GB44IZPS1175088576765,2025-06-24 06:29:15,35640,861,798,446057,a625af93-fe4a-43de-95ac-04541625694f
Sr(a). María Eugenia Paredes,sr(a).maríaeugeniaparedes,sr(a).maríaeugeniaparedes@gmail.com,98541081422,2019-12-16,"Calzada Oaxaca 186 Edif. 156 , Depto. 484, San Dolores los bajos, CHIH 50632",970.751.5184x25014,18:0c:a2:11:81:57,47.98.146.89,GB75HAKL8722140988317,2025-06-24 06:29:15,21145,76,122,1851020,bf1b5e28-607f-4a62-8301-523095b38107
Esperanza Quiroz Toro,esperanzaquiroztoro,esperanzaquiroztoro@gmail.com,1147105629,1955-09-21,"Avenida Tlaxcala 745 Interior 169, San Cynthia los altos, CHIH 42310-4647",455.339.7548,9c:0b:90:34:81:b8,83.126.161.197,GB53MYVA6208837043109,2025-06-24 06:29:15,15137,671,477,256428,53d4f9d6-f3a2-43de-95ba-ff0e12e2a509
Aldonza Valdez Galindo,aldonzavaldezgalindo,aldonzavaldezgalindo@hotmail.com,33795734129,1993-04-14,"Diagonal Gollum 880 Edif. 491 , Depto. 566, Nueva Myanmar, TAMPS 93628",673.883.6443,36:6e:ec:7c:5f:ea,101.19.138.177,GB02XRBR6934905509633,2025-06-24 06:29:15,34728,786,319,1578194,f329fc5d-5bb0-4ada-af54-15fee1c37498
Paola Yolanda Méndez,paolayolandaméndez,paolayolandaméndez@gmail.com,25146533531,1918-01-22,"Diagonal Sur Segura 098 Edif. 382 , Depto. 398, San Blanca los altos, NAY 50417",511.682.3816,28:d5:ad:87:96:02,138.227.181.188,GB22IHSI0216178529466,2025-06-24 06:29:15,4284,827,565,266248,64e61af9-d2ff-4ec8-bde4-3d4ae819e766
Blanca Alta  Gracia Benavides,blancaaltagraciabenavides,blancaaltagraciabenavides@hotmail.com,28041403388,1942-08-17,"Diagonal Santo Tomé y Príncipe 757 619, San Ruby de la Montaña, NL 46917",759.925.9470,98:04:f2:59:70:e2,163.235.9.88,GB06JIGE7784224896813,2025-06-24 06:29:15,7989,5,415,687464,6397a2c5-9fb2-468b-875f-2f5dc0f2f421
Mtro. Aldonza Armas,mtro.aldonzaarmas,mtro.aldonzaarmas@yahoo.com,63584681082,1919-12-18,"Andador Ramos 310 321, San Natividad los altos, AGS 07690",694.283.1191x74732,66:de:b3:07:a2:c1,23.207.24.20,GB80PZGG6680862127664,2025-06-24 06:29:15,20561,286,220,1672830,80859b53-8cf6-4716-934c-b21ae7348879
Salma Felix Toro,salmafelixtoro,salmafelixtoro@gmail.com,45658916775,1972-06-24,"Circuito Oaxaca 053 340, Vieja Finlandia, PUE 98890",088.698.9870x8753,48:5f:2c:bf:fb:fe,6.4.32.94,GB77PHKP3017895686104,2025-06-24 06:29:15,9228,201,127,1789084,cbf120f2-df51-424a-9b30-fe6b17bd3d76
Eugenia Lucio Santiago,eugenialuciosantiago,eugenialuciosantiago@yahoo.com,20840433880,1926-09-20,"Avenida Albania 655 Interior 802, Vieja Indonesia, SLP 57210",506.953.9569x21097,16:23:00:14:7d:bc,218.241.138.110,GB58JHIK7876271061697,2025-06-24 06:29:15,7362,635,188,1071878,4c811635-f862-4918-81e3-053d974e4286
Leonel Echeverría,leonelecheverría,leonelecheverría@hotmail.com,5006325087,2006-08-02,"Circuito Norte Leyva 926 Interior 631, San Patricio los altos, TLAX 52399",411-815-5845x2160,44:b5:56:6d:54:6f,179.136.120.5,GB38UHTR0475456415967,2025-06-24 06:29:15,13586,949,228,1407218,f842fb4c-1001-4efd-8a36-1adab03b7941
Lic. Cristobal Vera,lic.cristobalvera,lic.cristobalvera@hotmail.com,7070636894,2012-06-02,"Cerrada Téllez 856 617, Vieja República Árabe Siria, DF 78785",(138)326-5190,82:7e:a8:36:d2:f5,103.42.66.104,GB97TYWF5683436679333,2025-06-24 06:29:15,23676,170,13,1026979,ef2207b7-2d4c-410f-b72b-6930ab6f69b6
Leonel García Borrego,leonelgarcíaborrego,leonelgarcíaborrego@hotmail.com,15939451595,1964-07-13,"Callejón Norte Brito 617 Interior 313, San Germán los altos, SIN 48767-2090",212-492-9961,0a:c7:95:40:22:26,84.147.118.130,GB37NGTG8347068676339,2025-06-24 06:29:15,2225,374,348,1110512,8e41bfa5-baa9-4b25-8ed3-43455a7d20d2
Ing. Ángel Ramón,ing.ángelramón,ing.ángelramón@gmail.com,26562776257,1927-04-09,"Eje vial China 878 Edif. 790 , Depto. 435, San Tomás de la Montaña, AGS 91038",370.718.0744,42:b4:22:a8:ad:cd,101.226.123.73,GB60GXOD7333020466806,2025-06-24 06:29:15,12864,849,518,1772542,7529445e-8d70-4fed-85d8-54a79071425e
María Teresa Blanco Nieto,maríateresablanconieto,maríateresablanconieto@hotmail.com,12961271926,1979-03-06,"Callejón Papua Nueva Guinea 017 626, Nueva Myanmar, SLP 41527-6163",1-869-432-8339x014,78:91:ae:cb:da:25,106.176.152.176,GB89SSID2511594172767,2025-06-24 06:29:15,24513,398,660,189327,6b9105cf-0de0-420a-b603-2266d0aa4e7a
José Eduardo Julia Guevara Lucero,joséeduardojuliaguevaralucero,joséeduardojuliaguevaralucero@gmail.com,68626099607,1999-09-15,"Peatonal Botswana 347 Edif. 149 , Depto. 217, Nueva Emiratos Árabes Unidos, MICH 81871-3223",1-609-051-7281x453,82:43:c9:8f:f4:61,22.187.88.11,GB85RWYK1080822243380,2025-06-24 06:29:15,35117,531,462,642604,f99eda62-2fc4-4808-a8da-c3f5a8e91cfb
Daniela Fonseca,danielafonseca,danielafonseca@yahoo.com,78673400210,2014-09-22,"Retorno Norte Alejandro 478 Interior 105, San Rebeca de la Montaña, GRO 99574",00047159600,b4:67:09:ab:9a:15,57.227.215.129,GB13KUIR4450957918684,2025-06-24 06:29:15,21110,341,572,365651,632a47c2-08cf-4deb-bdbc-354b43e11063
Abelardo Lozada,abelardolozada,abelardolozada@gmail.com,31153368126,1999-02-04,"Calle Guinea 977 318, San Bruno los altos, CHIH 83279",03208591850,ae:54:ac:a5:28:0a,56.63.244.195,GB28EEVA8343234501373,2025-06-24 06:29:15,20574,784,222,1268024,90019719-e6fb-4816-9e9f-29fc2c7cc67e
Teresa Santiago Abrego,teresasantiagoabrego,teresasantiagoabrego@hotmail.com,95696347186,1944-04-24,"Prolongación Norte Guevara 912 Interior 255, Nueva Côte d'Ivoire, COL 15173-8542",1-749-100-0270x0555,b6:19:14:85:3e:db,132.89.50.206,GB69PIAZ5232977799397,2025-06-24 06:29:15,27228,632,472,1022981,64af25c7-a7ab-4a97-86cd-dd5355d78ce4
Fidel Ordóñez Echeverría,fidelordóñezecheverría,fidelordóñezecheverría@hotmail.com,85447570806,1981-05-04,"Ampliación Etiopía 312 Interior 850, Nueva Argelia, SLP 49317-6142",03232451893,5a:4d:08:c7:9b:88,28.73.96.65,GB45QOGS9931278433486,2025-06-24 06:29:15,30994,489,367,1989719,33966d0a-5be2-49f0-8838-1e1350a0cc41
Rosa Ivonne de la Fuente,rosaivonnedelafuente,rosaivonnedelafuente@gmail.com,61876604093,1991-08-29,"Retorno Norte Berríos 652 Edif. 684 , Depto. 037, Vieja Paraguay, COAH 25443-6494",409.744.3012x2385,cc:96:c8:8d:f0:4a,80.20.187.85,GB45GCTZ4870242146494,2025-06-24 06:29:15,14416,975,112,91700,f42aa91c-4532-4814-babd-377876db306a
Judith Duarte,judithduarte,judithduarte@hotmail.com,6550314436,2009-08-16,"Cerrada Querétaro 359 Interior 650, San Conchita los altos, QRO 12361",+57(7)9055940843,aa:c8:8c:27:01:bf,68.235.210.167,GB43YYRE6764116847219,2025-06-24 06:29:15,23896,722,382,998805,569cc952-86cf-45e6-a0b5-482579c9b7d9
Dr. Juan Carlos Barajas,dr.juancarlosbarajas,dr.juancarlosbarajas@yahoo.com,31531386048,1910-04-12,"Eje vial Yucatán 360 Interior 687, San Esperanza los bajos, VER 94922",224.500.7443x8153,88:db:4b:e1:8d:48,60.224.90.247,GB11ICCS8239669201705,2025-06-24 06:29:15,11110,938,223,1588717,6ce1e071-6d55-4e50-9bc1-49c0d7ef62e3
Nicolás Vicente Rosas,nicolásvicenterosas,nicolásvicenterosas@yahoo.com,46914852754,1948-02-11,"Avenida Saavedra 278 479, San Mónica los bajos, SIN 49626-6920",04696279636,74:06:96:fe:ba:f2,62.181.56.231,GB81LFOC2443345167657,2025-06-24 06:29:15,24388,69,454,681594,bbde8140-5a40-4742-86d1-94d921dbbb8a
Lorenzo Bernardo Espinal,lorenzobernardoespinal,lorenzobernardoespinal@hotmail.com,16014138610,1984-09-04,"Diagonal Linares 079 Edif. 743 , Depto. 266, San Abel de la Montaña, TLAX 50868-1935",953.955.9889x36917,e2:0d:4e:d6:2f:3f,167.36.64.213,GB68NHDS1190324278814,2025-06-24 06:29:15,31816,665,780,298232,a03f02c6-85b1-4152-acef-ff850c651726
Salvador Zedillo Galarza,salvadorzedillogalarza,salvadorzedillogalarza@hotmail.com,72968367655,1991-04-16,"Peatonal México 773 Interior 102, San Sergio de la Montaña, MOR 40650-6119",110-875-5433x677,90:51:40:88:bf:81,4.69.112.144,GB05LRAN5031773752851,2025-06-24 06:29:15,22024,198,580,390542,9b1df53d-6a54-4770-b957-d845fce5e5c4
Lic. Josefina Borrego,lic.josefinaborrego,lic.josefinaborrego@hotmail.com,92945544317,1994-03-21,"Diagonal Sinaloa 549 Edif. 410 , Depto. 526, Nueva Samoa, CHIS 26186",(943)115-9655,b0:ff:5f:58:49:c9,37.151.65.171,GB25BFYX9432721905521,2025-06-24 06:29:15,35224,87,398,1058624,f9ac4d2a-cf59-4040-bac4-2d2161018b6f
Natividad Roldán de la O,natividadroldándelao,natividadroldándelao@gmail.com,75639226309,1935-08-03,"Pasaje Norte González 425 Interior 423, Nueva España, HGO 14472-2924",855-492-0701,72:e4:44:f6:84:60,192.73.101.9,GB18WSRD2233226478722,2025-06-24 06:29:15,29977,738,520,1126367,377fab79-7fa0-4f4e-8d92-c382f77f42ac
Dr. Manuel de Anda,dr.manueldeanda,dr.manueldeanda@gmail.com,95908647704,1959-12-14,"Diagonal Oaxaca 318 Interior 282, San Celia de la Montaña, MOR 53534",446-064-1697x864,a6:ff:b9:3d:c6:28,197.26.191.85,GB45AEVK4221234751907,2025-06-24 06:29:15,8960,257,429,1027153,4a2ff42a-c272-4fd4-8ad9-929abd9c7f48
Victoria Tejeda Fajardo,victoriatejedafajardo,victoriatejedafajardo@gmail.com,71882339832,1959-08-27,"Corredor Veracruz de Ignacio de la Llave 714 Interior 181, Nueva Kuwait, QRO 48306",1-306-208-9119x828,50:ce:2c:24:67:c8,130.240.225.81,GB35JFUK6346903599257,2025-06-24 06:29:15,6520,788,121,1390016,42d8e811-0396-4f40-a65e-15bd63669f3f
Mauricio Tejada,mauriciotejada,mauriciotejada@hotmail.com,64800467793,1985-03-23,"Prolongación Timor-Leste 029 Edif. 669 , Depto. 738, Nueva Guatemala, VER 02278-3691",645.731.1113x2110,98:84:c2:91:20:eb,89.107.254.9,GB41ZFVZ5524324941433,2025-06-24 06:29:15,22930,313,95,1276499,6c35f63e-8511-4cd3-84f1-c89ca6e4cd00
Dr. Amelia Saavedra,dr.ameliasaavedra,dr.ameliasaavedra@yahoo.com,52324103507,1991-09-14,"Continuación Finlandia 877 Interior 135, Nueva Israel, SIN 58794-6988",(925)278-8894x16375,26:0a:00:34:b3:75,85.146.254.177,GB98ZBWS9260019037003,2025-06-24 06:29:15,22518,702,424,433243,c8a063f1-55ef-4e62-a918-b7f50e163fb3
Diego Chávez Cedillo,diegochávezcedillo,diegochávezcedillo@yahoo.com,31232957634,2014-04-20,"Viaducto Sur Maestas 905 Interior 809, Nueva Guyana, AGS 47460",911-157-0976,a4:35:e0:11:82:ee,147.152.114.249,GB09FPOI9249873112075,2025-06-24 06:29:15,14649,936,337,305207,b4626c79-57c5-47a8-b862-65fdfe9cfecb
Paola Alvarado,paolaalvarado,paolaalvarado@gmail.com,52446089626,1924-07-19,"Boulevard Norte Monroy 348 698, San Iván los bajos, QRO 87478",375-558-9393,f6:42:1c:6f:ad:60,46.109.108.147,GB44EWDU2405101454970,2025-06-24 06:29:15,11702,377,230,967064,9f21f2c4-efe0-43d1-b472-00f8cf6a5bf8
Porfirio Alberto Guerrero,porfirioalbertoguerrero,porfirioalbertoguerrero@yahoo.com,98709344778,1970-06-23,"Diagonal Tonga 751 Interior 999, Nueva Canadá, COAH 16825-7929",+15(2)7609809293,78:93:af:d5:a0:25,101.159.68.34,GB71NDYP6899342754660,2025-06-24 06:29:15,9898,19,119,1211502,85437b22-1ad0-4908-bcf3-0de694917b0b
Itzel Pascual Cavazos,itzelpascualcavazos,itzelpascualcavazos@gmail.com,25353885517,2007-10-22,"Ampliación Solís 639 Interior 157, San Joaquín de la Montaña, VER 87041",374.261.8214x6435,2e:f8:dc:a8:96:fb,139.30.212.34,GB07TGRU9593383829488,2025-06-24 06:29:15,11749,289,634,572498,bb47970f-cf5a-41e2-8d8e-d2465c43389d
Dr. David Ayala,dr.davidayala,dr.davidayala@gmail.com,24938634284,1946-02-10,"Callejón República Democrática del Congo 663 Edif. 106 , Depto. 275, San Georgina los altos, PUE 52259-1417",633-838-5204x281,54:55:ee:11:8a:d9,192.60.151.246,GB33IPQA2581901528571,2025-06-24 06:29:15,26443,703,45,1933806,e500447d-e2c8-4d15-9fc7-598d0aaa4766
Lic. Alma Montoya,lic.almamontoya,lic.almamontoya@gmail.com,14724564274,1947-12-22,"Andador Egipto 348 Interior 899, Nueva Papua Nueva Guinea, MOR 07028-8895",(775)602-6789,2c:61:58:78:52:0c,144.148.182.1,GB76OXDT4421209812451,2025-06-24 06:29:15,16251,501,538,399543,b159f8d9-180b-4de7-9661-64365a20502e
Bruno Treviño Montenegro,brunotreviñomontenegro,brunotreviñomontenegro@yahoo.com,13863863018,1947-09-23,"Eje vial Norte Marroquín 508 093, Vieja Paraguay, JAL 13445",1-106-689-8618x656,a6:c7:62:76:30:0f,147.212.239.223,GB24EFGD8605850932494,2025-06-24 06:29:15,18607,909,697,1254313,40b66dd1-bf27-404d-bee3-4f087ef0d97b
Adán Daniela de León,adándanieladeleón,adándanieladeleón@gmail.com,29102354304,1931-09-11,"Retorno Berríos 700 747, San Citlali los altos, QRO 57528",09109559618,c0:f4:90:e5:69:61,222.149.48.234,GB80ZZOV6350432745804,2025-06-24 06:29:15,13830,421,20,162820,460e8385-0551-4f98-ad55-cf4a1c4f4af8
Judith Raquel Mascareñas Arguello,judithraquelmascareñasarguello,judithraquelmascareñasarguello@hotmail.com,16447644820,2007-08-06,"Boulevard Hungría 056 Interior 103, Nueva Myanmar, YUC 51990-5431",476-283-9640x63576,9a:dc:47:31:c6:63,178.219.73.217,GB90DCCQ8361297503599,2025-06-24 06:29:15,24697,270,642,1221336,cf2a2611-9de4-4b18-9266-a91a39eb0191
Roberto Ruby Rojo,robertorubyrojo,robertorubyrojo@gmail.com,29932932873,1955-11-09,"Continuación Turkmenistán 117 137, Vieja México, SIN 49348-3548",+78(6)7806750207,14:af:cf:53:ce:71,64.198.20.145,GB47BKPZ0494153600343,2025-06-24 06:29:15,19646,547,213,1334670,e72ee851-8028-46ec-8b7c-c32c2e90b6fa
Diana Carlos Muñiz,dianacarlosmuñiz,dianacarlosmuñiz@hotmail.com,61413986334,1957-04-30,"Callejón Sur Acosta 293 201, San Juan los altos, BCS 54581",(843)741-2022x69207,ba:80:91:36:e0:bc,174.108.212.227,GB25WBLD4100440996912,2025-06-24 06:29:15,26573,35,400,593372,b146b7a1-d12c-4870-ba12-494705d600ca
Javier Pineda Paredes,javierpinedaparedes,javierpinedaparedes@yahoo.com,63757823511,1914-09-15,"Avenida Briones 064 207, Vieja Marruecos, YUC 14439",286.162.1326,ea:70:23:7f:c5:41,69.146.245.167,GB87YRQI2764610564365,2025-06-24 06:29:15,35967,4,658,548515,e7dbe8a7-ea1e-4718-8e48-a659b36ce86f
Santiago Guerra,santiagoguerra,santiagoguerra@hotmail.com,24435458393,1961-05-09,"Peatonal Menéndez 508 Edif. 283 , Depto. 918, San Juana de la Montaña, OAX 41914-7947",1-650-801-7977x1130,60:17:ef:3a:61:65,14.154.219.218,GB21NZZX2439867181790,2025-06-24 06:29:15,31413,424,291,410596,acaa796d-a79c-4229-ac5b-08aa41b1c280
José María Estévez,josémaríaestévez,josémaríaestévez@yahoo.com,37920225747,1952-03-21,"Circunvalación Guerrero 807 465, San Timoteo de la Montaña, ZAC 02226-6966",174.892.2263,1e:5e:d5:39:c1:ba,112.67.240.54,GB49YBNG9313717755718,2025-06-24 06:29:15,20795,699,153,550447,a666b360-d785-496d-b776-9b177dc829b6
Alvaro Helena Malave Coronado,alvarohelenamalavecoronado,alvarohelenamalavecoronado@yahoo.com,13012439280,1994-07-22,"Eje vial Lozada 115 968, San Héctor de la Montaña, SLP 44421-5130",996.144.3972x5449,da:f8:ef:bb:ea:72,152.214.31.249,GB43WJJG8790564542133,2025-06-24 06:29:15,30906,477,238,734560,a222f051-4afa-4545-8a93-31d94851853e
Leonardo Miramontes,leonardomiramontes,leonardomiramontes@hotmail.com,47319901147,1966-12-12,"Avenida Norte del Río 546 Edif. 631 , Depto. 554, San Guillermo los bajos, GRO 18179",822.815.3512x418,6a:30:12:67:42:43,124.80.172.147,GB66FZHU4557748289033,2025-06-24 06:29:15,13691,826,383,906292,65fb2f5b-20b2-42a1-8a62-1d6b6b229520
Rufino Narváez,rufinonarváez,rufinonarváez@gmail.com,32326365932,1957-02-27,"Circuito Namibia 903 Interior 323, Nueva Federación de Rusia, BC 41358-2278",084-124-5409,08:48:5e:5a:29:7e,207.194.91.176,GB28PBOA9857567936527,2025-06-24 06:29:15,31880,712,491,106127,f4ac2b3b-c12a-4cd9-8368-a52f6604bd8f
Jacobo Aldonza Olivárez Mateo,jacoboaldonzaolivárezmateo,jacoboaldonzaolivárezmateo@hotmail.com,13448491806,1992-05-22,"Continuación Sur de la Torre 905 341, San Timoteo los altos, TAMPS 90072",1-357-495-4839x254,f8:ec:f1:72:e0:ac,42.157.177.129,GB42CHUJ6824946474397,2025-06-24 06:29:15,34213,236,282,286922,d3949898-2eaf-47a3-ba2e-387b77c079da
Jonás Helena Ballesteros,jonáshelenaballesteros,jonáshelenaballesteros@hotmail.com,23368164481,1927-09-06,"Viaducto Norte Tello 666 Interior 312, San Alejandro los bajos, GTO 33293-0719",06599772848,06:89:2b:ec:2e:9d,196.141.167.60,GB65VLVQ7238032116718,2025-06-24 06:29:15,31331,438,784,169776,8727de98-41e5-4c1c-8cf6-8db505f66c28
