person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Ilona Georgescu,ilonageorgescu,ilonageorgescu@acasa.ro,4200617136194,2011-01-03,"Bulevardul Vicențiu Stoica, Teius, 681559",0761 489 647,b0:2a:f7:28:03:a9,95.132.9.101,RO61XYJM8036116866963195,2025-06-20 02:13:53,21254,907,576,309601,549c8dc6-5867-4433-a20c-84d80fa9069f
Vlaicu Pop,vlaicupop,vlaicupop@gmail.com,3910213438090,1916-06-18,"Aleea Diaconescu Nr. 39 Bl. 72  Sc. 92 Ap. 631, Valea lui Mihai, 316587",0722 974 370,72:1b:bb:3b:fc:ec,62.135.12.222,RO82UYRT2590933769742026,2025-06-20 02:13:53,10000,147,496,1993524,6c2d899e-4dbb-4d5a-b9ed-af876415a326
Narcis Diaconu,narcisdiaconu,narcisdiaconu@kappa.ro,1191119465745,1986-06-24,"Aleea Cristina Tomescu, Dragalina, 587276",0732 546 213,d8:81:85:6a:65:d3,15.110.90.139,RO83JVWP0653606214545158,2025-06-20 02:13:53,32067,914,396,1992320,915acdcc-a16a-4003-b9e1-86b37e463ed4
Simion Nistor,simionnistor,simionnistor@zzup.ro,7251113273692,1936-08-02,"Strada Barbu Nr. 73, Alexandria, 602162",0765 272 063,1e:36:0f:89:b2:42,47.81.159.71,RO20PVHW3581828293795161,2025-06-20 02:13:53,15497,683,457,1485103,d3226caf-2f92-4010-bf0f-70c5675989a5
Adam Voinea,adamvoinea,adamvoinea@kappa.ro,1550804226202,2018-01-24,"Strada Stancu Nr. 19 Bl. 18  Sc. 18 Ap. 252, Chisineu-Cris, 801720",0235 952 482,36:6f:00:dc:e9:90,47.92.92.156,RO26QDNL6816577994831539,2025-06-20 02:13:53,13125,148,241,312132,de9a94da-4580-4cdc-b177-f4ad0099e8ba
Ilie Dinu,iliedinu,iliedinu@post.ro,2150307154309,1956-03-10,"Strada Adelaida Nistor, Fetesti, 968051",0740 472 386,3e:27:06:05:2a:02,171.90.8.47,RO06XAJN0934188772856144,2025-06-20 02:13:53,25194,799,27,681101,a12b5dca-fcf0-4c7d-9acd-4b3f1aaaee13
Nicuță Albu,nicuțăalbu,nicuțăalbu@acasa.ro,3471109250881,1915-08-20,"Drumul David Manole, Lumina, 894828",0251 645 145,40:1a:46:f9:01:49,165.28.67.69,RO27TUSD3747267785238342,2025-06-20 02:13:53,13541,31,264,1636449,1a356923-d0db-4ed7-bcdb-3687c260348a
Visarion Ardelean,visarionardelean,visarionardelean@email.ro,1391108073438,1991-05-28,"Bulevardul Alexe Ioniță Nr. 51, Mangalia, 540767",0769 569 736,a8:03:f2:ca:b3:69,93.173.95.15,RO59BIRD8628340397888153,2025-06-20 02:13:53,14919,469,585,179635,9284cf90-7dbf-4028-b7ed-e39338100424
Ivan Mocanu,ivanmocanu,ivanmocanu@email.ro,4411106426559,1925-02-25,"Strada Popescu, Matca, 821343",0768 918 861,18:6f:b7:24:31:6a,185.184.165.88,RO47ATDQ1809838068660854,2025-06-20 02:13:53,22539,169,184,262289,d2c3d18f-959d-491b-a12c-45bb03062131
Romeo Barbu,romeobarbu,romeobarbu@post.ro,6540631205646,1952-06-02,"Intrarea Ardelean Nr. 92, Marghita, 450156",0751 506 654,2e:00:03:cd:d0:d6,36.165.61.156,RO33NYVY4530285222402470,2025-06-20 02:13:53,21457,497,120,1382977,f62e4d2d-825b-442e-a1ba-01e0700c728e
Savina Stănescu,savinastănescu,savinastănescu@141.ro,6110330282207,1985-10-18,"Aleea Popa Nr. 979, Adjud, 322654",0236 559 368,fc:6c:75:2b:7c:33,132.236.137.205,RO41HJJO9735410891900733,2025-06-20 02:13:53,20901,392,721,473346,a55ef4b7-7cb8-460f-9a64-3462ab0e94cd
Caius Suciu,caiussuciu,caiussuciu@141.ro,3960808061818,2023-06-05,"Bulevardul Valentina Diaconu Nr. 27 Bl. 96  Sc. 44 Ap. 749, Bistrita, 344305",0249 797 889,a8:00:fa:87:e0:07,200.63.120.32,RO19PYIW7340023545724099,2025-06-20 02:13:53,16228,855,566,874136,733de98e-81fd-4d38-a611-171f482b7809
Ionelia Barbu,ioneliabarbu,ioneliabarbu@email.ro,6851110302887,2011-04-10,"Drumul Georgescu, Draganesti-Olt, 867214",0242 228 152,06:ca:59:fa:26:81,20.79.201.92,RO85VJWR7466583654421679,2025-06-20 02:13:53,29751,598,790,469507,d9cac9cc-c509-4b8a-a41b-d5637c98b9f1
Aglaia Pușcașu,aglaiapușcașu,aglaiapușcașu@141.ro,6210603222501,1988-12-11,"Bulevardul Dorina Stănescu, Ludus, 679616",0231 756 104,64:36:f8:9a:07:07,200.178.211.209,RO44PQZX0381426169862970,2025-06-20 02:13:53,21190,255,593,1695503,cdd6002d-159a-4964-9a25-86d4584bdd87
Coralia Ababei,coraliaababei,coraliaababei@email.ro,8320502526088,1979-01-23,"Soseaua Mazilescu Nr. 58 Bl. 89  Sc. 26 Ap. 304, Giroc, 609016",0711 197 065,24:ef:9e:de:85:9a,188.87.146.143,RO69LWFX4396403207153718,2025-06-20 02:13:53,16677,723,310,1526234,b78aaf3b-eeba-44b5-b904-b4f5c2fad817
Aleodor Dumitrescu,aleodordumitrescu,aleodordumitrescu@zzup.ro,6010321067061,1925-08-23,"Intrarea Stan Nr. 990 Bl. 66  Sc. 28 Ap. 891, Cluj-Napoca, 826471",0733 289 177,7e:d8:49:38:cf:2d,63.230.234.206,RO62LCMK3870231870577522,2025-06-20 02:13:53,33499,518,541,201054,54b2912c-483e-4f6f-9f31-50694bd30cb0
Coralia Dumitrescu,coraliadumitrescu,coraliadumitrescu@kappa.ro,7550116139223,1971-11-18,"Aleea Cezar Ioniță Nr. 94, Rosiori de Vede, 451182",0733 438 451,44:11:c1:dd:ab:07,46.246.145.192,RO73ORQX4931878687107088,2025-06-20 02:13:53,10943,742,60,598114,c880b1f3-9241-4af7-8b64-6d277e99828d
Giorgian Mazilescu,giorgianmazilescu,giorgianmazilescu@post.ro,1311224023851,1981-03-14,"Aleea Eusebia Nemeș Nr. 24 Bl. 67  Sc. 88 Ap. 245, Vaslui, 656969",0232 005 756,e0:7d:d7:22:5a:b5,34.99.167.244,RO66LYNQ4558390075816226,2025-06-20 02:13:53,8092,101,418,151551,e9dfdfe1-5a1a-441c-bcc5-a3bd52fb2e54
Dumitra Ababei,dumitraababei,dumitraababei@email.ro,8530419423987,1919-03-11,"Intrarea Marga Tomescu Nr. 93, Curtea de Arges, 490391",0249 843 127,38:63:7c:25:c0:35,135.177.243.181,RO76IHOQ4254742811842246,2025-06-20 02:13:53,8765,180,618,1799253,ee71a9ee-b812-446b-a1c4-a51c2db9d539
Doriana Ioniță,dorianaioniță,dorianaioniță@141.ro,2340603374657,2015-08-20,"Bulevardul Ababei Nr. 13 Bl. 24  Sc. 54 Ap. 763, Simleu Silvaniei, 923430",0734 963 504,0a:f6:10:62:f7:a1,179.153.247.74,RO76EVGR4535222095013664,2025-06-20 02:13:53,17806,484,204,92091,d8c47103-19d7-4d52-a8b2-6ee673a52949
Inocențiu Georgescu,inocențiugeorgescu,inocențiugeorgescu@gmail.com,7780903178696,1962-06-26,"Soseaua Aurelia Mazilescu Nr. 75, Ramnicu Sarat, 332936",0746 599 583,28:15:eb:5b:09:f0,11.69.93.203,RO34TAQS2049163698893279,2025-06-20 02:13:53,8974,89,316,1901130,0da68482-0f89-4b67-b833-00ff81a407e3
Cătălina Tomescu,cătălinatomescu,cătălinatomescu@post.ro,2500710147556,1956-09-07,"Soseaua Tabacu Nr. 32, Glina, 440201",0760 573 098,48:3c:b4:25:e7:6a,152.204.84.83,RO77NWTS3730521039410579,2025-06-20 02:13:53,13177,782,437,1348555,54e9a4a0-e3fa-4b77-b268-04dcbadc613e
Ludovic Preda,ludovicpreda,ludovicpreda@kappa.ro,3180610142547,2016-03-17,"Soseaua Niță Nr. 150 Bl. 71  Sc. 10 Ap. 488, Tomesti, 979324",021 798 8243,c8:37:c5:6a:14:9c,88.143.36.202,RO75QZCW9547904532599288,2025-06-20 02:13:53,28689,171,599,1391599,d1f3afaa-de5e-49b2-a886-b978c32ab6a3
Daria Ababei,dariaababei,dariaababei@gmail.com,8901002389955,1911-09-30,"Soseaua Cristea Nr. 14 Bl. 41  Sc. 73 Ap. 327, Rucar, 498865",0770 499 271,28:dc:a8:c0:09:71,213.168.176.244,RO38EGAA4730514673522134,2025-06-20 02:13:53,20245,2,6,1724562,4a7554c5-e00e-4648-aa41-327bea43ee96
Clara Mazilescu,claramazilescu,claramazilescu@zzup.ro,3630802308917,1994-05-31,"Strada Aanei Nr. 131, Floresti, 413612",0726 164 799,38:7a:5c:a8:a8:02,74.61.63.199,RO05GGGR0932400805772024,2025-06-20 02:13:53,24886,471,337,920063,4529420a-cd8c-4f59-bfc0-385f4e0e9096
Benone Diaconescu,benonediaconescu,benonediaconescu@gmail.com,5520729103893,1970-12-22,"Intrarea Anghelina Dobre Nr. 625 Bl. 41  Sc. 75 Ap. 301, Valea Mare (Babeni), 862916",0248 366 932,b0:fd:00:72:4a:a9,91.213.159.100,RO05XPZZ2156982181318943,2025-06-20 02:13:53,3134,924,212,1231433,35db7a36-5f72-476b-9298-9d2196b60540
Elisaveta Niță,elisavetaniță,elisavetaniță@email.ro,7470921145031,1986-01-19,"Soseaua Tabacu Nr. 28, Dancu, 787496",0721 257 720,d2:25:c2:8b:fb:3b,27.44.27.99,RO52JKWQ1039618569692637,2025-06-20 02:13:53,8728,715,312,1946250,4a8bde09-437d-4324-b498-1e087c569162
Vera Stancu,verastancu,verastancu@email.ro,7671120297239,1955-07-13,"Bulevardul Eftimie, Resita, 310474",0232 551 054,a4:60:05:5a:b3:43,41.193.245.125,RO23GDHU3952884249321119,2025-06-20 02:13:53,32432,764,622,1510971,10d67735-61d4-4044-a9b0-521af9576e50
Dinu Diaconescu,dinudiaconescu,dinudiaconescu@141.ro,6550531268025,1958-10-26,"Aleea Pușcașu Nr. 946, Jilava, 375639",0242 155 106,8e:4e:31:40:08:76,134.153.244.150,RO53NMLX5966875555665479,2025-06-20 02:13:53,8967,735,14,1004510,c88efa8b-476b-44af-9468-4aafbaab6311
Rica Dima,ricadima,ricadima@kappa.ro,3420215042736,1995-04-01,"Strada Suciu Nr. 61 Bl. 59  Sc. 85 Ap. 684, Zimnicea, 993074",0261 152 720,82:73:89:74:75:9c,146.228.159.242,RO30WVJL5010149108146564,2025-06-20 02:13:53,4122,836,717,1862326,0ac750fa-d683-4a36-b4fa-3dcda2205987
Edgar Suciu,edgarsuciu,edgarsuciu@post.ro,7001124251066,1994-06-08,"Bulevardul Preda Nr. 982, Toplita, 669538",0762 402 147,76:9b:91:f6:fe:ad,132.51.223.238,RO34LGXY8600834452963678,2025-06-20 02:13:53,32383,122,629,1827414,a53b190e-6532-47e2-a023-c6c00141a20d
Narcisa Pușcașu,narcisapușcașu,narcisapușcașu@zzup.ro,6700622343344,1918-01-27,"Intrarea Vlad Cristea, Santana, 756553",0269 637 507,f0:75:92:8b:1e:4d,135.33.15.169,RO30UKMP0400615715941137,2025-06-20 02:13:53,10547,230,37,1330276,d794cf40-b042-4219-bbd2-c6a5f06d6814
Tudosia Dobre,tudosiadobre,tudosiadobre@gmail.com,1590208517042,1964-01-22,"Bulevardul Marin, Turnu Magurele, 949051",0247 461 981,ee:1a:6c:61:f8:4d,100.135.88.93,RO65TWGK5025613224920746,2025-06-20 02:13:53,11263,71,710,1636521,2be45fe7-3ab2-4234-adb4-7c6eb3b56055
Tincuța Mazilescu,tincuțamazilescu,tincuțamazilescu@kappa.ro,1260506370273,1949-07-14,"Aleea Dima Nr. 97, Mizil, 823524",0239 021 422,18:fc:15:3b:2d:91,82.142.17.20,RO89VLES3101834583312400,2025-06-20 02:13:53,17675,610,552,641173,8cf4eec1-bdcb-48da-9358-5df1971128e8
Amalia Niță,amalianiță,amalianiță@acasa.ro,2470223155871,1919-02-04,"Soseaua Flora Barbu, Barlad, 894375",0763 617 242,1e:4e:34:fa:0d:25,147.84.19.31,RO43LVPQ6871520134279858,2025-06-20 02:13:53,26012,577,67,762119,90468a02-e25a-456c-b4b7-878934fdee05
Stela Eftimie,stelaeftimie,stelaeftimie@141.ro,1190409344079,1961-09-11,"Intrarea Florea Nr. 88, Dragu-Brad, 983895",0741 999 535,22:bb:61:48:c8:0f,196.227.220.196,RO07ZTWG1720649282604157,2025-06-20 02:13:53,19821,50,417,430606,77a17129-8e07-4bd0-a09e-e40e307fe5ab
Pompilia Georgescu,pompiliageorgescu,pompiliageorgescu@141.ro,7290613342052,1989-04-02,"Strada Manole Nr. 823, Sacueni, 948184",0730 082 745,be:51:87:4b:40:76,43.92.199.195,RO04HXNR8453387887301345,2025-06-20 02:13:53,31835,545,777,1235322,486a14e8-ad15-49cf-bed4-965655528c79
Veronica Diaconu,veronicadiaconu,veronicadiaconu@kappa.ro,6140324434713,1919-09-05,"Aleea Manole Nr. 68 Bl. 60  Sc. 34 Ap. 801, Aiud, 283816",0248 852 550,4e:b9:29:46:59:c3,87.178.187.11,RO47QHJR2418079968633827,2025-06-20 02:13:53,26998,937,13,1980333,90336475-021a-4c9c-aabb-b20ccb12c8f5
Teodosia Niță,teodosianiță,teodosianiță@post.ro,3130409075970,1926-03-23,"Drumul Amedeu Diaconescu Nr. 38 Bl. 89  Sc. 46 Ap. 704, Strehaia, 857863",0772 999 843,f0:52:9e:de:e3:9b,133.15.218.102,RO75PGZY4112540670636429,2025-06-20 02:13:53,16745,988,90,952895,3334453f-511d-4f44-b84f-b13f967b311e
Jana Ionescu,janaionescu,janaionescu@post.ro,3890702064299,1981-12-07,"Intrarea Zamfira Stan, Corabia, 492964",0728 936 206,f8:14:4f:cf:14:5f,8.174.232.77,RO50CTKG3767392778917062,2025-06-20 02:13:53,20148,81,597,1179248,d6df2dfb-0888-438f-8cc2-57d22e055843
Alin Georgescu,alingeorgescu,alingeorgescu@zzup.ro,3911207356915,2013-12-25,"Intrarea Diaconu, Horodnic de Sus, 626507",0253 158 736,58:b0:b4:22:e6:45,145.254.235.151,RO95YPXG3073008199742807,2025-06-20 02:13:53,2458,511,386,1703494,ebf7e027-fb91-457f-814b-c424ce235fcd
Teodor Pușcașu,teodorpușcașu,teodorpușcașu@kappa.ro,4640718123364,1987-03-10,"Intrarea Stan, Turda, 883314",0232 430 853,78:93:bb:82:8f:6e,8.87.227.92,RO14LEQK4359427611022785,2025-06-20 02:13:53,689,251,185,386220,5950b51f-6167-4feb-9cd7-175b6dad59dc
Florina Aanei,florinaaanei,florinaaanei@gmail.com,3881014389501,2017-10-31,"Intrarea Popa, Moldova Veche, 308169",0247 734 703,ae:81:a5:22:08:09,85.81.204.103,RO08HZZV4117156994347073,2025-06-20 02:13:53,35902,77,486,440400,46eee829-2d2b-4348-876b-1e268d723726
Edgar Cristea,edgarcristea,edgarcristea@kappa.ro,3050915367885,2011-09-30,"Bulevardul Oprea, Paunesti, 365193",0735 602 133,8a:4a:82:c0:91:07,184.211.50.202,RO45OZKO4767491618200773,2025-06-20 02:13:53,25063,19,80,821389,a1b95c17-1b4b-4363-8471-36400d30136a
Rareș Albu,rareșalbu,rareșalbu@141.ro,6840407465413,2022-12-11,"Drumul Teodor Mazilescu Nr. 62 Bl. 60  Sc. 58 Ap. 982, Ovidiu, 846484",0267 822 608,ae:07:16:87:ac:e4,35.144.87.75,RO88KPIF2894341854269499,2025-06-20 02:13:53,10283,469,341,1914840,d171f326-f3a3-4fa7-a790-759895544d88
Andrei Georgescu,andreigeorgescu,andreigeorgescu@email.ro,5290221176863,1944-12-01,"Intrarea Ioniță Nr. 54, Lunca Cetatuii, 618200",0763 242 167,f0:be:f5:0c:ac:d2,33.150.108.114,RO66APMV1403125339650164,2025-06-20 02:13:53,7965,889,557,937674,1b5848c1-10a9-4432-9f51-33c77e7696db
Ilona Albu,ilonaalbu,ilonaalbu@post.ro,3210911431325,1910-09-30,"Intrarea Oprea, Valea Caselor (Dragasani), 812297",0765 652 024,78:e1:a1:a7:81:be,19.206.73.55,RO35LEHB6864392680171383,2025-06-20 02:13:53,12673,605,137,1729747,2426d38c-663f-4e17-9798-e8332e6898fe
Zamfira Niță,zamfiraniță,zamfiraniță@141.ro,1481016208511,1984-07-16,"Bulevardul Stănescu Nr. 27 Bl. 32  Sc. 30 Ap. 101, Satu Mare, 288396",0268 502 499,96:b7:e3:9a:bb:4e,1.241.93.119,RO28KMRB5837356826308417,2025-06-20 02:13:53,14716,869,354,311440,a384a21d-2e42-41a1-862c-3ed0dec868f1
Aleodor Dima,aleodordima,aleodordima@zzup.ro,8370331369486,2005-07-03,"Bulevardul Nistor Nr. 21, Drobeta-Turnu Severin, 178553",0249 765 135,5c:05:45:d5:11:17,22.246.118.112,RO11SHDG3604770604233651,2025-06-20 02:13:53,30133,525,721,1950573,92b89d07-ae31-4786-802a-b0c9e9fb1839
Angel Ene,angelene,angelene@gmail.com,3420129465171,1963-10-13,"Soseaua Tudor Nr. 31 Bl. 59  Sc. 35 Ap. 802, Vulcan, 724727",0726 867 661,b6:8b:d8:70:05:9f,160.225.48.103,RO74OTRC9595017089168774,2025-06-20 02:13:53,8390,644,628,1946039,a3fee146-072c-4c98-89f2-866ef9ee9dd8
Nicoleta Stănescu,nicoletastănescu,nicoletastănescu@zzup.ro,5621121265071,1910-11-15,"Aleea Vicențiu Popescu Nr. 20, Bailesti, 424843",0261 689 123,2c:37:5c:81:e6:f6,143.227.59.28,RO89KUGF2033949161505450,2025-06-20 02:13:53,26344,690,241,1701799,84461b8f-6268-477a-85f9-f038680a3cb1
Iacob Mocanu,iacobmocanu,iacobmocanu@zzup.ro,1600717253298,1973-06-06,"Intrarea Nistor Nr. 843, Sadova, 622833",0755 148 298,3a:03:35:17:ff:20,93.218.50.220,RO98XYMV7765235742718088,2025-06-20 02:13:53,18250,542,42,384182,64a18381-7043-42e0-9a00-ecd001e70f79
Dorli Ababei,dorliababei,dorliababei@post.ro,7931029127660,1917-05-20,"Drumul Diaconescu Nr. 812 Bl. 44  Sc. 11 Ap. 274, Cristuru Secuiesc, 756897",0760 887 063,22:9d:be:11:0e:ac,163.22.91.92,RO34TUQX3271200300342578,2025-06-20 02:13:53,13501,16,59,851588,9eda95ae-a9e1-41e8-8efd-a4d124b926fd
Clara Oprea,claraoprea,claraoprea@post.ro,4270431463148,1923-09-06,"Intrarea Ionescu, Nadlac, 204433",0755 068 614,ce:50:a7:36:5e:2f,159.252.151.93,RO39GVRY0417009306036109,2025-06-20 02:13:53,12049,840,13,1198733,7f307781-7eb0-4844-85f3-ce5a91410df1
Leontin Pop,leontinpop,leontinpop@acasa.ro,8570419425019,1918-09-29,"Aleea Frusina Diaconu Nr. 62 Bl. 17  Sc. 62 Ap. 526, Covasna, 271956",0726 472 258,d2:81:e8:e6:20:15,24.181.166.4,RO12MVJS3472328036974413,2025-06-20 02:13:53,30308,379,151,1629660,85ea8311-eb07-44c0-95f6-b272e8313bc4
Sabin Manole,sabinmanole,sabinmanole@kappa.ro,3850228088078,1963-12-12,"Soseaua Ioana Manole Nr. 50 Bl. 60  Sc. 80 Ap. 327, Baraolt, 932657",0251 770 732,4a:d2:e1:69:90:bf,77.254.35.148,RO08SXWS2792438315186488,2025-06-20 02:13:53,23594,219,797,744295,976ef9f7-7f52-49e0-ba64-5aa0cc0cf188
Axinte Mazilescu,axintemazilescu,axintemazilescu@email.ro,5990205454660,1976-09-28,"Intrarea Otilia Popa Nr. 11 Bl. 10  Sc. 33 Ap. 359, Zalau, 800982",021 995 8607,dc:64:b9:14:bf:a7,117.199.195.197,RO78IJYF8898621403422347,2025-06-20 02:13:53,33212,454,156,1878494,a5f4eb94-9c9d-4861-889b-0103b01f31ff
Bartolomeu Pușcașu,bartolomeupușcașu,bartolomeupușcașu@post.ro,6880221160250,1977-02-27,"Strada Diaconescu Nr. 32, Remetea, 527084",0742 999 369,2a:35:26:6b:74:ef,178.65.103.248,RO73UZJE3524579726279962,2025-06-20 02:13:53,27058,869,558,1696095,6d8939af-2a0d-4dd6-a30d-2d4bb6da3f7a
Alice Tudor,alicetudor,alicetudor@zzup.ro,5261216459715,2000-07-05,"Strada Mazilescu Nr. 34 Bl. 12  Sc. 97 Ap. 461, Medgidia, 384590",0765 736 256,aa:61:c1:28:b3:45,116.250.196.193,RO95OIUE4592417298273227,2025-06-20 02:13:53,16180,831,367,1724630,37ad04ee-fa2f-4ca4-b8ab-c7e7e787e026
Pompilia Nistor,pompilianistor,pompilianistor@zzup.ro,7200513064711,1918-07-16,"Intrarea Oprea Nr. 73, Moreni, 967518",0755 482 156,24:60:1a:e9:0e:5c,129.194.121.191,RO94SLAA6310871558095594,2025-06-20 02:13:53,16525,219,704,1775927,c2af09f3-1ee0-4c85-aaf5-bb475f05ff09
Ludmila Popescu,ludmilapopescu,ludmilapopescu@acasa.ro,8780415260255,2011-05-04,"Bulevardul Georgescu Nr. 447, Teius, 628744",0240 993 062,7e:81:28:e7:87:b5,167.71.79.223,RO98GYZP5617911778398913,2025-06-20 02:13:53,10357,31,75,318648,1b778c2e-cdbe-412d-9514-82bbe3fe3f13
Dorinel Dima,dorineldima,dorineldima@kappa.ro,6220212210881,2002-08-10,"Strada Pușcașu Nr. 20, Moreni, 953817",0784 962 615,28:a1:c6:79:c9:8d,94.172.19.28,RO48SUQG8190471231582961,2025-06-20 02:13:53,6208,90,282,1377122,bd2ac71d-9c46-4201-9fc2-15d796276176
Tamara Mocanu,tamaramocanu,tamaramocanu@email.ro,3070504234908,1919-12-29,"Bulevardul Ardelean, Fetesti-Gara, 785378",0244 362 426,cc:94:a6:c1:71:35,1.147.40.70,RO12RLIG3967784135622330,2025-06-20 02:13:53,12221,33,128,1980064,661d360b-19eb-4c76-bbf9-59b88c798553
Flora Ionescu,floraionescu,floraionescu@kappa.ro,4070221023129,1997-08-05,"Soseaua Dinu, Cluj-Napoca, 422896",0780 500 171,f0:db:96:30:a9:b1,170.5.198.115,RO12YAHS4003701565877689,2025-06-20 02:13:53,29767,632,746,774746,a7bbbe90-7831-4564-9f59-f817873f0dcf
Safta Mazilescu,saftamazilescu,saftamazilescu@acasa.ro,6730311294951,1965-05-13,"Drumul Popescu Nr. 77 Bl. 89  Sc. 22 Ap. 885, Straja, 161519",0749 884 366,cc:e7:c6:59:08:91,71.4.204.9,RO39WNBE5878466311582106,2025-06-20 02:13:53,3580,664,71,44587,4ee66a99-95ea-4c13-9a24-73061c059bc5
Emilian Ababei,emilianababei,emilianababei@zzup.ro,4120511309201,1980-10-21,"Drumul Stoica Nr. 827 Bl. 66  Sc. 81 Ap. 938, Siria, 631364",021 586 3468,42:a9:60:cb:7e:e3,122.31.219.211,RO55AFIW9307187044466131,2025-06-20 02:13:53,28223,159,431,1092746,537a4b98-c8e3-4f25-a9ee-c0e27297e45e
Nora Nistor,noranistor,noranistor@141.ro,1970608432557,2000-12-21,"Soseaua Preda Nr. 41, Boldesti-Scaeni, 196812",0252 231 894,52:67:5e:22:28:11,44.134.179.19,RO57KKPT4953485778267509,2025-06-20 02:13:53,16424,686,382,839492,dd7c8173-9a4e-43c8-8e7b-385288f385b9
Dariana Ene,darianaene,darianaene@zzup.ro,1781129185872,1961-06-06,"Bulevardul Albu, Cisnadie, 732666",0784 547 045,20:0f:48:d4:6a:b7,148.234.97.213,RO16PYFG0379197679604536,2025-06-20 02:13:53,3868,973,332,1293151,77e7166f-3c03-40e2-abdf-63a0f16d01e6
Stana Georgescu,stanageorgescu,stanageorgescu@post.ro,7851019421061,2011-09-17,"Aleea Suciu Nr. 23 Bl. 53  Sc. 70 Ap. 832, Carei, 426198",0735 398 565,1c:ff:26:5b:fd:cf,113.176.172.144,RO03DRDQ2843473191311131,2025-06-20 02:13:53,15207,475,557,573239,6b09f55a-7342-41e6-9e87-181838f3bceb
Lăcrămioara Manole,lăcrămioaramanole,lăcrămioaramanole@post.ro,1880214366860,1937-09-18,"Aleea Tomescu, Chitila, 457844",0729 528 364,78:09:0b:92:3e:78,174.45.4.187,RO52QYUM6650745876962861,2025-06-20 02:13:53,696,685,685,619536,23b77870-2eb7-46b0-923d-3cb9482114a9
